Provincia,PIB,Poblacion
Distrito Federal,23630,8811266
Mexico,8945,17363387
Jalisco,8631,8110943
Queretaro,9940,2063148
Nuevo Leon,6342,5229492
Puebla,6091,6313789
San Luis Potosi,6935,2801839
Yucatan,7160,2172839
Morelos,7902,1965487
Veracruz,5417,8163963
Quintana Roo,13342,1664667
Chihuahua,12338,3782018
Coahuila,12474,3029740
Baja California,11365,2514256
Sonora,10336,3011810
Guanajuato,6794,5908845
Guerrero,9940,2063148
Hidalgo,5119,2858359 
Michoacan,5147,4658159
Tamaulipas,10200,3622605
Durango,8140,1799320
Sinaloa,7046,3034942
Aguascalientes,10663,1321453
Baja California Sur,10820,809833
Nayarit,5252,1268460
Chiapas,3657,5382083
Colima,8618,747801
Tabasco,5802,2431339
Tlaxcala,4928,1313067
Oaxaca,4003,4061497
Campeche,15175,935047
Zacatecas,5132,1600412